LehrerInnen in Deutschland nach Altersgruppen 2021;
Anzahl der Lehrkraefte an allgemeinbildenden Schulen in Deutschland im Schuljahr 2020/2021 nach Altersgruppen;
;
25;50538
30;99738
35;105882
40;90081
45;95154
50;96426
55;82986
60;70716
65;8064
Ohne Angabe;2400
;
https://de.statista.com/statistik/daten/studie/1129928/umfrage/lehrerinnen-in-deutschland-nach-altersgruppen/;
